a	n
abdominal	j n
ability	n
able	j
abnormal	j
abnormally	a
about	a
above	a j n
absence	n
abstract	j n v
abundant	j
academic	j n
accept	v
accepted	j
access	n v
accident	n
accompanied	j
according	j
account	n v
achieve	v
achieved	
acid	j n
acquired	j
across	a
act	n v
acting	n
action	n v
active	j n
activities	
activity	n
actor	n
acute	j n
adapted	j
add	v
added	
addition	n
address	n v
adjacent	j
administration	n
administrative	j
adult	j n
advance	n v
advanced	j
advantage	n v
advocate	n v
affairs	n
affected	j
affecting	j
affection	n
africa	
african	
after	a
again	a
against	
age	n v
agency	n
agent	n
ago	a j
agreement	n
ahead	a
aid	n v
air	n v
aircraft	n
airplane	n
alaska	
alcohol	n
alcoholic	j n
algae	n
all	a j
allow	v
allows	
alloy	n v
almost	a
alone	a
along	a
alphabet	n
already	a
also	a
always	a
am	
america	
american	
amino	j n
among	
amount	n v
an	
analysis	n
ancient	j n
and	
anew	a
anger	n v
angle	n v
angles	
animal	n
annual	j n
another	
answer	n v
anterior	j n
anxiety	n
any	a
anything	
apart	a
apparatus	n
apparent	j
appear	v
appearance	n
apple	n
application	n
applied	j
apply	v
appointed	j
approach	n v
appropriate	j v
approval	n
aquatic	j n
arch	j n v
architect	n
architecture	n
arctic	j n
are	n
area	n
areas	
argument	n
arizona	
arm	n v
armed	j
arms	n
army	n
aromatic	j
around	a
arrange	v
arranged	j
arrangement	n
art	n
arteries	
artery	n
articles	
artificial	j
artist	n
artistic	j
arts	n
as	a
asia	
asian	
asiatic	
aside	a n
assembly	n
assets	n
assigned	j
associated	
association	n
assumed	j
astronomy	n
at	n
atlantic	
atmosphere	n
atom	n
atomic	j
atoms	
attached	j
attack	n v
attempt	n v
attention	n
attitude	n
attractive	j
audience	n
australia	
australian	
author	n v
authority	n
automobile	n v
available	j
average	j n v
avoid	v
away	a j
axis	n
baby	n v
back	a n v
backward	a j
bacteria	n
bad	a j n
badly	a
bag	n v
baked	j
balance	n v
ball	n v
band	n v
bank	n v
bar	n v
bark	n v
basal	j
base	j n v
baseball	n
based	j
basic	j n
basis	n
basketball	n
bat	n v
batter	n v
battle	n v
bay	j n v
bc	
be	v
beam	n v
beans	
bear	n v
bearing	n
beat	n v
beautiful	j
beauty	n
became	
because	
become	v
becoming	j
bed	n v
beef	n v
beer	n
befitting	j
before	a
began	
begin	v
beginning	n
behavior	n
behind	a n
being	n
belief	n
beliefs	
believe	v
believed	
bell	n v
belonging	n
below	a
belt	n v
beneath	a
bent	j n
berries	
best	a j n v
better	a j n v
between	a
beyond	a
big	a j
bill	n v
biological	j
biology	n
bird	n v
birth	n v
bit	n
bitter	a j n v
black	j n v
blade	n
block	n v
blood	n v
blow	n v
blue	j n v
board	n v
boat	n v
bodies	
bodily	a j
body	n v
boiling	a n
bomb	n v
bond	n v
bone	j n v
bones	n
bony	j
book	n v
border	n v
born	j
both	
bottle	n v
bottom	j n v
bought	
bound	j n v
boundary	n
bow	n v
box	n v
boy	n
brain	n v
branch	n v
branches	
brazil	n
bread	n v
break	n v
breast	n v
breathing	j n
breed	n v
bridge	n v
brief	j n v
bright	a j
brightly	a
brilliant	j
bring	v
britain	
british	
broad	j n
broadcast	n v
broke	j
broken	j
brother	n
brought	
brown	j n v
brush	n v
build	n v
building	n
buildings	
built	j
burn	n v
burned	j
burning	n
business	n
but	a
butter	n v
buy	n v
by	a
c	n
cake	n v
calcium	n
calendar	n v
california	
call	n v
called	
came	
campaign	n v
can	n v
canada	
canal	n v
cancer	n
candidate	n
candy	n v
cannot	
cap	n v
capable	j
capacity	n
capital	j n
car	n
carbon	n
card	n v
cardinal	j n
cards	n
care	n v
careful	j
carefully	a
carnivorous	j
carried	
carries	
carry	n v
carrying	
case	n v
cast	n v
cat	n v
catch	n v
category	n
catholic	j
cattle	n
caught	
cause	n v
caused	
causing	n
cavity	n
celestial	j
cell	n
cells	
center	j n v
central	j n
centuries	
century	n
ceremony	n
certain	j
chain	n v
chair	n v
chamber	n v
chance	n v
change	n v
changed	j
changing	j
channel	n v
character	n v
characteristic	j n
characteristics	
characterized	
charge	n v
charged	j
check	n v
cheese	n v
chemical	j n
chemist	n
